periodo,region,importaciones_musd
2012-03-01,América. América del Norte. Total,1792.37946381592
2012-04-01,América. América del Norte. Total,1711.95120570291
2012-05-01,América. América del Norte. Total,1876.1283756202
2012-06-01,América. América del Norte. Total,1816.82504537235
2012-07-01,América. América del Norte. Total,1805.88531725349
2012-08-01,América. América del Norte. Total,2228.28847023394
2012-09-01,América. América del Norte. Total,1847.0062297011
2012-10-01,América. América del Norte. Total,2294.454178186
2012-11-01,América. América del Norte. Total,1741.15436753677
2012-12-01,América. América del Norte. Total,1903.45475097167
2013-01-01,América. América del Norte. Total,1698.5799255501
2013-02-01,América. América del Norte. Total,1419.53702818796
2013-03-01,América. América del Norte. Total,1629.24083783496
2013-04-01,América. América del Norte. Total,2032.7936881153
2013-05-01,América. América del Norte. Total,1836.90978204411
2013-06-01,América. América del Norte. Total,1600.80145754118
2013-07-01,América. América del Norte. Total,1769.14841846508
2013-08-01,América. América del Norte. Total,1788.91236067046
2013-09-01,América. América del Norte. Total,1695.19113641952
2013-10-01,América. América del Norte. Total,1711.82350963802
2013-11-01,América. América del Norte. Total,1523.1471478476
2013-12-01,América. América del Norte. Total,1373.13617343039
2014-01-01,América. América del Norte. Total,1555.13189108417
2014-02-01,América. América del Norte. Total,1527.58503394316
2014-03-01,América. América del Norte. Total,1636.67358796534
2014-04-01,América. América del Norte. Total,1565.23851000454
2014-05-01,América. América del Norte. Total,1463.09760738454
2014-06-01,América. América del Norte. Total,1412.64739246636
2014-07-01,América. América del Norte. Total,1541.80350765774
2014-08-01,América. América del Norte. Total,1592.79530480995
2014-09-01,América. América del Norte. Total,1453.33694631516
2014-10-01,América. América del Norte. Total,1572.20957901033
2014-11-01,América. América del Norte. Total,1280.28666293494
2014-12-01,América. América del Norte. Total,1438.20582755346
2015-01-01,América. América del Norte. Total,1240.05224562543
2015-02-01,América. América del Norte. Total,1092.04819896603
2015-03-01,América. América del Norte. Total,1366.51379232634
2015-04-01,América. América del Norte. Total,1225.63307920653
2015-05-01,América. América del Norte. Total,1167.12890440207
2015-06-01,América. América del Norte. Total,1239.23638681868
2015-07-01,América. América del Norte. Total,1335.28000819598
2015-08-01,América. América del Norte. Total,1322.24517889262
2015-09-01,América. América del Norte. Total,1167.36031495201
2015-10-01,América. América del Norte. Total,1245.45788607953
2015-11-01,América. América del Norte. Total,1067.21525997041
2015-12-01,América. América del Norte. Total,1281.19415201256
2016-01-01,América. América del Norte. Total,1064.58770581406
2016-02-01,América. América del Norte. Total,902.79009253322
2016-03-01,América. América del Norte. Total,1103.43456685403
2016-04-01,América. América del Norte. Total,978.354306247998
2016-05-01,América. América del Norte. Total,1056.57037672785
2016-06-01,América. América del Norte. Total,1149.55018009489
2016-07-01,América. América del Norte. Total,1066.07668181983
2016-08-01,América. América del Norte. Total,1193.38418855016
2016-09-01,América. América del Norte. Total,1191.57949494597
2016-10-01,América. América del Norte. Total,1119.59807834201
2016-11-01,América. América del Norte. Total,1054.2406044558
2016-12-01,América. América del Norte. Total,1104.98743299497
2017-01-01,América. América del Norte. Total,1176.88228008171
2017-02-01,América. América del Norte. Total,1013.83130137164
2017-03-01,América. América del Norte. Total,1273.72539129972
2017-04-01,América. América del Norte. Total,1107.43397236745
2017-05-01,América. América del Norte. Total,1140.33274476851
2017-06-01,América. América del Norte. Total,1270.57564450024
2017-07-01,América. América del Norte. Total,1166.61988845251
2017-08-01,América. América del Norte. Total,1335.31370229974
2017-09-01,América. América del Norte. Total,1114.0026783023
2017-10-01,América. América del Norte. Total,1294.40127830933
2017-11-01,América. América del Norte. Total,1354.90944894486
2017-12-01,América. América del Norte. Total,1352.20411108285
2018-01-01,América. América del Norte. Total,1315.93753648227
2018-02-01,América. América del Norte. Total,1269.38648879468
2018-03-01,América. América del Norte. Total,1312.96081382571
2018-04-01,América. América del Norte. Total,1338.67019095288
2018-05-01,América. América del Norte. Total,1568.77408746888
2018-06-01,América. América del Norte. Total,1615.50481495657
2018-07-01,América. América del Norte. Total,1344.14387447281
2018-08-01,América. América del Norte. Total,1460.81411161039
